Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,194697/1281280,wjm1o2,wjp1o6,wjm1o2,dwjm1o6,dwjm1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,321003/2562560,wjm1o6,wjp1o6,wjm1o2,dwjm1o6,dwjm1o2
-6561*(x - 1)**3*(x - 1/3)*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-65853/1281280,wjp1o6,wjp1o6,wjm1o2,dwjm1o6,dwjm1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,25029/2562560,wjp1o2,wjp1o6,wjm1o2,dwjm1o6,dwjm1o2
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-83751/2562560,wjm1o2,wjp1o2,wjm1o2,dwjm1o6,dwjm1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-13203/512512,wjm1o6,wjp1o2,wjm1o2,dwjm1o6,dwjm1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,25029/2562560,wjp1o6,wjp1o2,wjm1o2,dwjm1o6,dwjm1o2
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-9579/2562560,wjp1o2,wjp1o2,wjm1o2,dwjm1o6,dwjm1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-885789/2562560,wjm1o2,wjm1o2,wjm1o6,dwjm1o6,dwjm1o2
-6561*(x - 1)**3*(x - 1/3)**3*(x + 1/3)*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-791451/2562560,wjm1o6,wjm1o2,wjm1o6,dwjm1o6,dwjm1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,321003/2562560,wjp1o6,wjm1o2,wjm1o6,dwjm1o6,dwjm1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-13203/512512,wjp1o2,wjm1o2,wjm1o6,dwjm1o6,dwjm1o2
-6561*(x - 1)**3*(x - 1/3)**3*(x + 1/3)*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-791451/2562560,wjm1o2,wjm1o6,wjm1o6,dwjm1o6,dwjm1o2
19683*(x - 1)**3*(x - 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-518319/1281280,wjm1o6,wjm1o6,wjm1o6,dwjm1o6,dwjm1o2
-19683*(x - 1)**3*(x - 1/3)**2*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,89667/512512,wjp1o6,wjm1o6,wjm1o6,dwjm1o6,dwjm1o2
6561*(x - 1)**2*(x - 1/3)**3*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-7047/183040,wjp1o2,wjm1o6,wjm1o6,dwjm1o6,dwjm1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,321003/2562560,wjm1o2,wjp1o6,wjm1o6,dwjm1o6,dwjm1o2
-19683*(x - 1)**3*(x - 1/3)**2*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,89667/512512,wjm1o6,wjp1o6,wjm1o6,dwjm1o6,dwjm1o2
19683*(x - 1)**3*(x - 1/3)*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-172773/2562560,wjp1o6,wjp1o6,wjm1o6,dwjm1o6,dwjm1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,47871/2562560,wjp1o2,wjp1o6,wjm1o6,dwjm1o6,dwjm1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-13203/512512,wjm1o2,wjp1o2,wjm1o6,dwjm1o6,dwjm1o2
6561*(x - 1)**2*(x - 1/3)**3*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-7047/183040,wjm1o6,wjp1o2,wjm1o6,dwjm1o6,dwjm1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,47871/2562560,wjp1o6,wjp1o2,wjm1o6,dwjm1o6,dwjm1o2
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,459/116480,wjp1o2,wjp1o2,wjm1o6,dwjm1o6,dwjm1o2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,194697/1281280,wjm1o2,wjm1o2,wjp1o6,dwjm1o6,dwjm1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,321003/2562560,wjm1o6,wjm1o2,wjp1o6,dwjm1o6,dwjm1o2
-6561*(x - 1)**3*(x - 1/3)*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-65853/1281280,wjp1o6,wjm1o2,wjp1o6,dwjm1o6,dwjm1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,25029/2562560,wjp1o2,wjm1o2,wjp1o6,dwjm1o6,dwjm1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,321003/2562560,wjm1o2,wjm1o6,wjp1o6,dwjm1o6,dwjm1o2
-19683*(x - 1)**3*(x - 1/3)**2*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,89667/512512,wjm1o6,wjm1o6,wjp1o6,dwjm1o6,dwjm1o2
19683*(x - 1)**3*(x - 1/3)*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-172773/2562560,wjp1o6,wjm1o6,wjp1o6,dwjm1o6,dwjm1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,47871/2562560,wjp1o2,wjm1o6,wjp1o6,dwjm1o6,dwjm1o2
-6561*(x - 1)**3*(x - 1/3)*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-65853/1281280,wjm1o2,wjp1o6,wjp1o6,dwjm1o6,dwjm1o2
19683*(x - 1)**3*(x - 1/3)*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-172773/2562560,wjm1o6,wjp1o6,wjp1o6,dwjm1o6,dwjm1o2
-19683*(x - 1)**3*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-150903/1281280,wjp1o6,wjp1o6,wjp1o6,dwjm1o6,dwjm1o2
6561*(x - 1)**2*(x - 1/3)*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-38151/2562560,wjp1o2,wjp1o6,wjp1o6,dwjm1o6,dwjm1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,25029/2562560,wjm1o2,wjp1o2,wjp1o6,dwjm1o6,dwjm1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,47871/2562560,wjm1o6,wjp1o2,wjp1o6,dwjm1o6,dwjm1o2
6561*(x - 1)**2*(x - 1/3)*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-38151/2562560,wjp1o6,wjp1o2,wjp1o6,dwjm1o6,dwjm1o2
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-2781/197120,wjp1o2,wjp1o2,wjp1o6,dwjm1o6,dwjm1o2
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-83751/2562560,wjm1o2,wjm1o2,wjp1o2,dwjm1o6,dwjm1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-13203/512512,wjm1o6,wjm1o2,wjp1o2,dwjm1o6,dwjm1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,25029/2562560,wjp1o6,wjm1o2,wjp1o2,dwjm1o6,dwjm1o2
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-9579/2562560,wjp1o2,wjm1o2,wjp1o2,dwjm1o6,dwjm1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-13203/512512,wjm1o2,wjm1o6,wjp1o2,dwjm1o6,dwjm1o2
6561*(x - 1)**2*(x - 1/3)**3*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-7047/183040,wjm1o6,wjm1o6,wjp1o2,dwjm1o6,dwjm1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,47871/2562560,wjp1o6,wjm1o6,wjp1o2,dwjm1o6,dwjm1o2
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,459/116480,wjp1o2,wjm1o6,wjp1o2,dwjm1o6,dwjm1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,25029/2562560,wjm1o2,wjp1o6,wjp1o2,dwjm1o6,dwjm1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,47871/2562560,wjm1o6,wjp1o6,wjp1o2,dwjm1o6,dwjm1o2
6561*(x - 1)**2*(x - 1/3)*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-38151/2562560,wjp1o6,wjp1o6,wjp1o2,dwjm1o6,dwjm1o2
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-2781/197120,wjp1o2,wjp1o6,wjp1o2,dwjm1o6,dwjm1o2
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-9579/2562560,wjm1o2,wjp1o2,wjp1o2,dwjm1o6,dwjm1o2
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,459/116480,wjm1o6,wjp1o2,wjp1o2,dwjm1o6,dwjm1o2
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-2781/197120,wjp1o6,wjp1o2,wjp1o2,dwjm1o6,dwjm1o2
729*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-6939/116480,wjp1o2,wjp1o2,wjp1o2,dwjm1o6,dwjm1o2
-729*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))/4096,-1,1,503469/1281280,wjm1o2,wjm1o2,wjm1o2,dwjp1o6,dwjm1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))/4096,-1,1,36261/320320,wjm1o6,wjm1o2,wjm1o2,dwjp1o6,dwjm1o2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))/4096,-1,1,-67257/1281280,wjp1o6,wjm1o2,wjm1o2,dwjp1o6,dwjm1o2
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))/4096,-1,1,57/4928,wjp1o2,wjm1o2,wjm1o2,dwjp1o6,dwjm1o2
